,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,108323,lh,prcus1,235.0,184.0,395.0,2.2,0.264,0.14,0.019,2.0,0.3,-0.08930063247680664,0.29143211245536804,-0.04842202737927437,0.4400351643562317
0,108323,lh,prcus2,32.0,19.0,57.0,2.354,0.301,0.122,0.029,0.0,0.1,-0.608356773853302,-0.39935749769210815,-0.3298729658126831,0.4708600342273712
0,108323,lh,prcus3,410.0,303.0,742.0,2.333,0.331,0.11,0.014,2.0,0.3,0.1886095404624939,0.753270149230957,0.10227087885141373,0.4666121304035187
0,108323,lh,MCGS,789.0,564.0,1188.0,2.324,0.328,0.104,0.015,4.0,0.6,0.4905678927898407,1.263644814491272,0.2660035789012909,0.46473249793052673
0,108323,lh,sbps,688.0,512.0,1307.0,2.764,0.53,0.114,0.019,4.0,0.6,0.30484652519226074,0.8762723207473755,0.16529877483844757,0.5528740882873535
0,108323,lh,2,93.0,77.0,331.0,4.102,0.358,0.17,0.025,1.0,0.1,-0.03968308866024017,0.10186457633972168,-0.021517599001526833,0.8203927278518677
0,108323,lh,1,34.0,24.0,124.0,3.704,0.193,0.156,0.034,0.0,0.1,-0.032047707587480545,0.0853089913725853,-0.017377421259880066,0.7408837676048279
0,108323,lh,3,50.0,40.0,161.0,3.232,0.265,0.138,0.022,0.0,0.1,-0.14525099098682404,-0.09063226729631424,-0.07876032590866089,0.6463483572006226
0,108323,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108323,lh,y,106.0,84.0,270.0,3.49,0.289,0.145,0.042,1.0,0.1,-0.31575509905815125,-0.10084538906812668,-0.1712137907743454,0.6980952024459839
0,108323,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108323,lh,w,136.0,96.0,232.0,2.356,0.325,0.078,0.01,0.0,0.1,0.3104180097579956,0.6802729368209839,0.16831982135772705,0.4712509214878082
0,108323,rh,POS,1730.0,1226.0,2634.0,2.572,0.476,0.107,0.018,9.0,1.3,0.7218411564826965,1.428538203239441,0.3828885555267334,0.5144379734992981
0,108323,rh,prculs,382.0,285.0,621.0,2.358,0.327,0.106,0.021,2.0,0.3,0.2815658748149872,0.8126674294471741,0.14935192465782166,0.47158297896385193
0,108323,rh,prcus1,226.0,156.0,384.0,2.705,0.411,0.11,0.02,1.0,0.2,-0.14900082349777222,0.45405930280685425,-0.07903500646352768,0.5409025549888611
0,108323,rh,prcus2,308.0,218.0,467.0,2.195,0.307,0.119,0.011,2.0,0.2,0.349473774433136,0.9108237028121948,0.1853725016117096,0.43894174695014954
0,108323,rh,prcus3,184.0,137.0,339.0,2.481,0.381,0.145,0.031,1.0,0.3,0.4631858468055725,0.7673513889312744,0.24568918347358704,0.49619168043136597
0,108323,rh,MCGS,873.0,611.0,1291.0,2.419,0.421,0.091,0.013,3.0,0.5,0.5665716528892517,1.2318159341812134,0.30052846670150757,0.4837568998336792
0,108323,rh,sbps,612.0,438.0,1120.0,2.768,0.539,0.12,0.02,4.0,0.6,0.36803844571113586,1.0817735195159912,0.19521985948085785,0.5536346435546875
0,108323,rh,2,121.0,90.0,345.0,3.997,0.354,0.16,0.025,1.0,0.2,0.09090056270360947,0.22503988444805145,0.04821668565273285,0.7993273735046387
0,108323,rh,1,34.0,30.0,94.0,3.389,0.357,0.158,0.034,0.0,0.0,0.1415030062198639,0.27511873841285706,0.07505791634321213,0.6778094172477722
0,108323,rh,3,20.0,12.0,39.0,2.43,0.207,0.102,0.018,0.0,0.0,-0.10849958658218384,0.01028726901859045,-0.0575517900288105,0.48596063256263733
0,108323,rh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108323,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108323,rh,isms,46.0,33.0,148.0,3.692,0.207,0.144,0.033,0.0,0.1,-0.11997063457965851,0.09041699022054672,-0.0636364296078682,0.7384786009788513
0,108323,rh,w,119.0,91.0,250.0,2.643,0.368,0.092,0.014,0.0,0.1,0.47224119305610657,0.7361277937889099,0.2504924535751343,0.5286207795143127
0,108525,lh,POS,752.0,520.0,1107.0,2.61,0.408,0.107,0.021,4.0,0.7,0.8566174507141113,1.4880932569503784,0.4670749306678772,0.522055447101593
0,108525,lh,prculs,727.0,513.0,1051.0,2.214,0.328,0.095,0.012,3.0,0.4,0.47666096687316895,1.1506236791610718,0.2599017322063446,0.4427173435688019
0,108525,lh,prcus1,208.0,159.0,355.0,2.54,0.392,0.143,0.026,2.0,0.3,0.2557775676250458,0.7137660384178162,0.13946400582790375,0.5079971551895142
0,108525,lh,prcus2,230.0,184.0,465.0,2.553,0.306,0.127,0.019,2.0,0.2,-0.15904763340950012,0.36731353402137756,-0.0867215022444725,0.5105257630348206
0,108525,lh,prcus3,688.0,512.0,1082.0,2.32,0.345,0.105,0.015,3.0,0.5,0.22654187679290771,0.8369343876838684,0.12352307140827179,0.4639010727405548
0,108525,lh,MCGS,1149.0,822.0,1654.0,2.261,0.453,0.098,0.014,5.0,0.8,0.45653584599494934,1.2158414125442505,0.24892841279506683,0.45229196548461914
0,108525,lh,sbps,831.0,568.0,1358.0,2.679,0.436,0.107,0.021,4.0,0.7,0.3675796091556549,0.9632858037948608,0.20042458176612854,0.5357657074928284
0,108525,lh,2,85.0,62.0,207.0,3.72,0.346,0.134,0.027,1.0,0.1,0.07758405059576035,0.4233397841453552,0.04230308532714844,0.7439701557159424
0,108525,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,lh,3,47.0,31.0,104.0,3.188,0.179,0.082,0.013,0.0,0.0,-0.14470146596431732,-0.08068832010030746,-0.07889918237924576,0.63759845495224
0,108525,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,lh,y,35.0,28.0,91.0,3.256,0.221,0.164,0.044,0.0,0.1,-0.16808545589447021,0.09688033163547516,-0.09164941310882568,0.6512985825538635
0,108525,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,108525,lh,w,145.0,104.0,252.0,2.478,0.275,0.083,0.011,0.0,0.1,0.41924047470092773,0.6921696662902832,0.2285929173231125,0.49551960825920105
0,108525,rh,POS,1446.0,1025.0,2260.0,2.553,0.455,0.106,0.02,7.0,1.2,0.691310703754425,1.5357240438461304,0.3792760968208313,0.5106825232505798
0,108525,rh,prculs,598.0,428.0,875.0,2.255,0.238,0.105,0.013,3.0,0.3,0.3529684543609619,1.1277881860733032,0.1936502605676651,0.4509250223636627
0,108525,rh,prcus1,214.0,160.0,348.0,2.572,0.335,0.143,0.02,2.0,0.2,-0.10834839195013046,0.40121421217918396,-0.059443555772304535,0.5144833922386169
