,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,c29,lh,POS,1437.0,973.0,1596.0,2.087,0.587,0.096,0.019,8.0,1.0,0.5877084732055664,1.3956940174102783,0.3250318765640259,0.4173925518989563
0,c29,lh,prculs,351.0,235.0,378.0,1.871,0.663,0.089,0.014,2.0,0.2,0.253526508808136,1.0921508073806763,0.14021268486976624,0.3741265535354614
0,c29,lh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,lh,prcus2,349.0,241.0,581.0,2.797,0.827,0.092,0.009,2.0,0.1,-0.15270495414733887,0.5329721570014954,-0.08445338159799576,0.5594661831855774
0,c29,lh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,lh,MCGS,1221.0,823.0,1519.0,2.118,0.635,0.073,0.008,4.0,0.3,0.5071209669113159,1.2949657440185547,0.28046298027038574,0.42353659868240356
0,c29,lh,sbps,294.0,204.0,614.0,3.986,0.847,0.099,0.02,1.0,0.3,0.2679976224899292,0.5566314458847046,0.14821593463420868,0.7971941828727722
0,c29,lh,2,63.0,45.0,160.0,3.223,0.175,0.06,0.008,0.0,0.0,-0.04862016439437866,0.05497425049543381,-0.026889357715845108,0.6445700526237488
0,c29,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,lh,x,115.0,88.0,337.0,4.223,0.424,0.084,0.013,0.0,0.1,-0.08297310024499893,0.028711607679724693,-0.045888230204582214,0.8445544242858887
0,c29,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,lh,isms,228.0,161.0,358.0,2.586,0.844,0.107,0.018,2.0,0.2,-0.22034089267253876,0.02107410877943039,-0.12185940146446228,0.5172232985496521
0,c29,lh,w,159.0,108.0,274.0,2.666,0.575,0.047,0.005,0.0,0.0,0.42358896136283875,0.6530474424362183,0.23426569998264313,0.5332122445106506
0,c29,rh,POS,1769.0,1217.0,2276.0,2.273,0.66,0.091,0.015,9.0,1.0,0.3962658941745758,1.432148814201355,0.198822021484375,0.4546160101890564
0,c29,rh,prculs,547.0,377.0,600.0,1.758,0.469,0.083,0.008,2.0,0.2,0.3649549186229706,1.213830828666687,0.18311209976673126,0.35158756375312805
0,c29,rh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,rh,prcus2,148.0,107.0,364.0,3.713,0.594,0.088,0.007,1.0,0.0,-0.37898874282836914,0.008611660450696945,-0.19015337526798248,0.7425875067710876
0,c29,rh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,rh,MCGS,856.0,591.0,881.0,1.59,0.539,0.071,0.008,3.0,0.2,0.4558141231536865,1.3345452547073364,0.2286996990442276,0.3179677426815033
0,c29,rh,sbps,232.0,167.0,573.0,4.232,0.53,0.096,0.012,1.0,0.1,0.04121153801679611,0.21424685418605804,0.02067743055522442,0.8463200330734253
0,c29,rh,2,40.0,28.0,99.0,2.953,0.51,0.05,0.007,0.0,0.0,-0.03980129212141037,0.044131625443696976,-0.019969860091805458,0.5905777812004089
0,c29,rh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,rh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,rh,x,52.0,45.0,191.0,3.796,0.222,0.052,0.006,0.0,0.0,-0.06681158393621445,-0.01257781870663166,-0.033521972596645355,0.7591715455055237
0,c29,rh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c29,rh,isms,95.0,71.0,258.0,3.759,0.534,0.101,0.02,0.0,0.1,-0.11045911908149719,0.0646066665649414,-0.05542163923382759,0.7518823742866516
0,c29,rh,w,200.0,148.0,376.0,2.681,0.636,0.086,0.011,1.0,0.1,-0.20895183086395264,0.44881707429885864,-0.1048392802476883,0.5362034440040588
0,c30,lh,POS,1456.0,1001.0,1772.0,1.93,0.679,0.086,0.014,5.0,0.9,0.4055127501487732,1.270371675491333,0.21657101809978485,0.3860662579536438
0,c30,lh,prculs,538.0,378.0,597.0,1.588,0.455,0.074,0.007,2.0,0.2,0.2320234775543213,1.1966749429702759,0.12391608953475952,0.31762784719467163
0,c30,lh,prcus1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,prcus2,129.0,105.0,248.0,1.983,0.64,0.092,0.008,1.0,0.0,-0.2629210948944092,0.10776640474796295,-0.14041748642921448,0.39658865332603455
0,c30,lh,prcus3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,MCGS,1256.0,849.0,1626.0,2.029,0.502,0.07,0.009,3.0,0.5,0.5297713279724121,1.4197041988372803,0.28293341398239136,0.40575310587882996
0,c30,lh,sbps,217.0,147.0,393.0,2.572,0.77,0.081,0.013,1.0,0.1,-0.051669713109731674,0.20674565434455872,-0.027595089748501778,0.5144046545028687
0,c30,lh,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,c30,lh,w,152.0,102.0,197.0,2.082,0.495,0.059,0.006,0.0,0.1,0.41822218894958496,0.8805689811706543,0.22335867583751678,0.41642048954963684
0,c30,rh,POS,1511.0,1034.0,1922.0,2.027,0.646,0.081,0.016,5.0,0.9,0.5841972231864929,1.5144357681274414,0.2933189570903778,0.40538710355758667
