,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,nc23,rh,parietal,30640.0,20365.0,44465.0,2.121,0.789,0.102,0.021,194.0,25.3,0.01794065535068512,1.9545073509216309,0.009179117158055305,0.42414218187332153
0,nc23,rh,cingulate,4426.0,2953.0,7732.0,2.569,0.944,0.096,0.017,31.0,2.7,0.10742457956075668,1.488989233970642,0.05496248975396156,0.5138718485832214
0,nc23,rh,insula,6632.0,4254.0,13445.0,3.007,1.148,0.111,0.04,86.0,11.6,0.6269950866699219,1.9043833017349243,0.3207944631576538,0.6014023423194885
0,nc23,rh,cortex,119478.0,78360.0,209061.0,2.468,0.997,0.099,0.022,778.0,107.0,0.010680528357625008,1.9545073509216309,0.005464560817927122,0.4936769902706146
0,nc24,lh,frontal,37604.0,24787.0,68849.0,2.673,0.985,0.092,0.019,193.0,28.0,-0.02918725647032261,1.7302052974700928,-0.014819316565990448,0.534651517868042
0,nc24,lh,occipital,14778.0,9685.0,15528.0,1.698,0.559,0.1,0.017,96.0,9.8,-0.14250972867012024,1.8922044038772583,-0.07235679030418396,0.33962130546569824
0,nc24,lh,parietal,33136.0,21926.0,43395.0,2.032,0.786,0.096,0.018,190.0,22.1,0.03054765611886978,1.9695419073104858,0.015510031953454018,0.40645909309387207
0,nc24,lh,cingulate,5621.0,3870.0,9837.0,2.71,0.979,0.11,0.021,48.0,4.7,0.10818380117416382,1.5363446474075317,0.05492840334773064,0.5419977307319641
0,nc24,lh,insula,3410.0,2232.0,7718.0,3.282,1.081,0.092,0.026,30.0,3.9,0.6113309860229492,1.9603294134140015,0.31039243936538696,0.6563636660575867
0,nc24,lh,cortex,115838.0,77137.0,185621.0,2.328,0.964,0.097,0.019,684.0,86.0,-0.008694420568645,1.9695419073104858,-0.004414439667016268,0.4655183255672455
0,nc24,rh,frontal,37911.0,24830.0,69987.0,2.707,0.947,0.094,0.02,197.0,30.7,0.0012233080342411995,1.7507580518722534,0.000603328924626112,0.541472315788269
0,nc24,rh,occipital,14357.0,9405.0,15068.0,1.653,0.526,0.096,0.016,87.0,8.8,-0.14211879670619965,1.5721352100372314,-0.0700923502445221,0.3305547535419464
0,nc24,rh,parietal,34557.0,22930.0,44733.0,1.935,0.741,0.093,0.015,178.0,21.1,-0.014875904656946659,2.0275936126708984,-0.007336727809160948,0.3870694935321808
