"","sub","label","sulcal_depth_mm","hemi"
"1","c05","mcgs_mb",19.8987618414113,"lh"
"2","c06","mcgs_mb",19.2804785593102,"lh"
"3","c09","mcgs_mb",16.4732407162687,"lh"
"4","c14","mcgs_mb",18.0324333250044,"lh"
"5","c15","mcgs_mb",21.476169247552,"lh"
"6","c19","mcgs_mb",18.1402118218102,"lh"
"7","c21","mcgs_mb",19.2218211279624,"lh"
"8","c24","mcgs_mb",20.8912152489688,"lh"
"9","c26","mcgs_mb",16.3356323051465,"lh"
"10","c27","mcgs_mb",16.9256311202275,"lh"
"11","nc04","mcgs_mb",16.8400392610046,"lh"
"12","nc07","mcgs_mb",20.031975077165,"lh"
"13","nc08","mcgs_mb",17.5442941768034,"lh"
"14","nc13","mcgs_mb",19.3156818987984,"lh"
"15","nc25","mcgs_mb",17.1792463753096,"lh"
"16","nc26","mcgs_mb",14.1091259268368,"lh"
"17","nc29","mcgs_mb",15.7078148324641,"lh"
"18","c05","mcgs_db",17.1507922183323,"lh"
"19","c06","mcgs_db",10.4477544899072,"lh"
"20","c09","mcgs_db",15.7406833260321,"lh"
"21","c14","mcgs_db",7.25782387103265,"lh"
"22","c15","mcgs_db",14.008718524292,"lh"
"23","c19","mcgs_db",17.1488005425024,"lh"
"24","c21","mcgs_db",17.2597759619581,"lh"
"25","c24","mcgs_db",20.5040016886815,"lh"
"26","c26","mcgs_db",11.6674391869457,"lh"
"27","c27","mcgs_db",18.79686695918,"lh"
"28","nc04","mcgs_db",12.5861843605924,"lh"
"29","nc07","mcgs_db",16.003586532084,"lh"
"30","nc08","mcgs_db",17.0186889872065,"lh"
"31","nc13","mcgs_db",18.722621495439,"lh"
"32","nc25","mcgs_db",16.9215083984607,"lh"
"33","nc26","mcgs_db",13.9446651641633,"lh"
"34","nc29","mcgs_db",10.2751463652482,"lh"
"35","c05","mcgs_sb",12.3499786737943,"lh"
"36","c06","mcgs_sb",11.2067512798009,"lh"
"37","c09","mcgs_sb",9.66788488609961,"lh"
"38","c14","mcgs_sb",13.4619119284535,"lh"
"39","c15","mcgs_sb",12.8633102642958,"lh"
"40","c19","mcgs_sb",12.2379367754783,"lh"
"41","c21","mcgs_sb",12.8764951242945,"lh"
"42","c24","mcgs_sb",13.4882645295038,"lh"
"43","c26","mcgs_sb",12.1379341003541,"lh"
"44","c27","mcgs_sb",11.5904824258577,"lh"
"45","nc04","mcgs_sb",5.2082968229053,"lh"
"46","nc07","mcgs_sb",11.6638121715234,"lh"
"47","nc08","mcgs_sb",11.890904788974,"lh"
"48","nc13","mcgs_sb",12.6348386024135,"lh"
"49","nc25","mcgs_sb",10.9073465030845,"lh"
"50","nc26","mcgs_sb",10.8205384153325,"lh"
"51","nc29","mcgs_sb",8.43097754190725,"lh"
"52","c01","mcgs_mb",13.8234520454551,"rh"
"53","c03","mcgs_mb",17.0278731039044,"rh"
"54","c05","mcgs_mb",19.8659591962363,"rh"
"55","c11","mcgs_mb",16.7237113531564,"rh"
"56","c13","mcgs_mb",18.1699549146405,"rh"
"57","c14","mcgs_mb",14.0992697468608,"rh"
"58","c15","mcgs_mb",20.1583937222114,"rh"
"59","c18","mcgs_mb",14.3273558731834,"rh"
"60","c20","mcgs_mb",14.4294324223286,"rh"
"61","c21","mcgs_mb",15.868933254595,"rh"
"62","c22","mcgs_mb",15.6658380922906,"rh"
"63","c26","mcgs_mb",18.6586904161955,"rh"
"64","c27","mcgs_mb",14.3079133904154,"rh"
"65","nc02","mcgs_mb",15.9203771124022,"rh"
"66","nc04","mcgs_mb",17.3665505473974,"rh"
"67","nc07","mcgs_mb",18.3651602460892,"rh"
"68","nc10","mcgs_mb",13.0376792329287,"rh"
"69","nc11","mcgs_mb",13.6257473344855,"rh"
"70","nc12","mcgs_mb",13.7348965771297,"rh"
"71","nc13","mcgs_mb",17.5964280447843,"rh"
"72","nc15","mcgs_mb",15.3767617247616,"rh"
"73","nc18","mcgs_mb",13.4181590734402,"rh"
"74","nc20","mcgs_mb",13.5459484652088,"rh"
"75","nc23","mcgs_mb",18.1732021423822,"rh"
"76","nc29","mcgs_mb",15.6249931459482,"rh"
"77","nc32","mcgs_mb",16.2395299210851,"rh"
"78","c01","mcgs_db",14.6040059647755,"rh"
"79","c03","mcgs_db",13.4157881524852,"rh"
"80","c05","mcgs_db",16.2461388193038,"rh"
"81","c11","mcgs_db",17.1642131869559,"rh"
"82","c13","mcgs_db",14.6692984769379,"rh"
"83","c14","mcgs_db",6.63785869302185,"rh"
"84","c15","mcgs_db",17.346037854847,"rh"
"85","c18","mcgs_db",16.6931258437479,"rh"
"86","c20","mcgs_db",13.4061005378507,"rh"
"87","c21","mcgs_db",15.3193455473577,"rh"
"88","c22","mcgs_db",14.8305715364655,"rh"
"89","c26","mcgs_db",19.7689379801026,"rh"
"90","c27","mcgs_db",15.8775064804613,"rh"
"91","nc02","mcgs_db",9.60677044772582,"rh"
"92","nc04","mcgs_db",14.6461742007678,"rh"
"93","nc07","mcgs_db",14.3936603158897,"rh"
"94","nc10","mcgs_db",16.8874613429131,"rh"
"95","nc11","mcgs_db",8.63277155613923,"rh"
"96","nc12","mcgs_db",9.82954781186351,"rh"
"97","nc13","mcgs_db",11.9111248756131,"rh"
"98","nc15","mcgs_db",14.4887003227505,"rh"
"99","nc18","mcgs_db",15.1915673070325,"rh"
"100","nc20","mcgs_db",11.3338712421375,"rh"
"101","nc23","mcgs_db",11.2192485464901,"rh"
"102","nc29","mcgs_db",11.2924047474874,"rh"
"103","nc32","mcgs_db",12.8414611390325,"rh"
"104","c01","mcgs_sb",6.69527454212868,"rh"
"105","c03","mcgs_sb",10.8058488812333,"rh"
"106","c05","mcgs_sb",9.9322519970958,"rh"
"107","c11","mcgs_sb",10.2686722201743,"rh"
"108","c13","mcgs_sb",6.02850540433185,"rh"
"109","c14","mcgs_sb",13.7072432716758,"rh"
"110","c15","mcgs_sb",7.3082032538273,"rh"
"111","c18","mcgs_sb",11.2548913713853,"rh"
"112","c20","mcgs_sb",10.2701098852548,"rh"
"113","c21","mcgs_sb",13.2649406264202,"rh"
"114","c22","mcgs_sb",8.61426208976687,"rh"
"115","c26","mcgs_sb",10.5510616449994,"rh"
"116","c27","mcgs_sb",9.4797452089403,"rh"
"117","nc02","mcgs_sb",12.074372065635,"rh"
"118","nc04","mcgs_sb",12.4986986212201,"rh"
"119","nc07","mcgs_sb",7.97542049493155,"rh"
"120","nc10","mcgs_sb",9.56665371713123,"rh"
"121","nc11","mcgs_sb",10.9443600442832,"rh"
"122","nc12","mcgs_sb",8.6559967260521,"rh"
"123","nc13","mcgs_sb",9.85851759678462,"rh"
"124","nc15","mcgs_sb",10.5027935912336,"rh"
"125","nc18","mcgs_sb",10.4879858272994,"rh"
"126","nc20","mcgs_sb",11.4574614225173,"rh"
"127","nc23","mcgs_sb",6.43742025282176,"rh"
"128","nc29","mcgs_sb",8.21292122342992,"rh"
"129","nc32","mcgs_sb",8.16206749132084,"rh"
"130","c01","mcgs_mb",16.1934956481703,"lh"
"131","c03","mcgs_mb",17.2903348544258,"lh"
"132","c04","mcgs_mb",17.8818730220984,"lh"
"133","c07","mcgs_mb",14.7752431092106,"lh"
"134","c10","mcgs_mb",17.3196627599994,"lh"
"135","c11","mcgs_mb",16.0410999726448,"lh"
"136","c12","mcgs_mb",16.966969252197,"lh"
"137","c13","mcgs_mb",19.0433597726218,"lh"
"138","c16","mcgs_mb",17.8757973131679,"lh"
"139","c17","mcgs_mb",18.3733991030522,"lh"
"140","c18","mcgs_mb",18.1683979088485,"lh"
"141","c20","mcgs_mb",15.0753103129762,"lh"
"142","c22","mcgs_mb",17.507321344029,"lh"
"143","c23","mcgs_mb",15.694357031679,"lh"
"144","c25","mcgs_mb",17.468515502999,"lh"
"145","c28","mcgs_mb",15.7262554796696,"lh"
"146","c29","mcgs_mb",15.2785917455943,"lh"
"147","c30","mcgs_mb",17.2815585324276,"lh"
"148","nc02","mcgs_mb",15.8098331660227,"lh"
"149","nc03","mcgs_mb",17.7473590783273,"lh"
"150","nc05","mcgs_mb",15.9527343212396,"lh"
"151","nc06","mcgs_mb",15.1020263363604,"lh"
"152","nc09","mcgs_mb",17.7764933363913,"lh"
"153","nc10","mcgs_mb",15.9544561928712,"lh"
"154","nc11","mcgs_mb",15.3788387256562,"lh"
"155","nc12","mcgs_mb",15.4443376466621,"lh"
"156","nc14","mcgs_mb",16.7904015424228,"lh"
"157","nc15","mcgs_mb",16.0485697820542,"lh"
"158","nc16","mcgs_mb",14.135242818283,"lh"
"159","nc17","mcgs_mb",16.6673413779578,"lh"
"160","nc19","mcgs_mb",21.8455176409332,"lh"
"161","nc20","mcgs_mb",17.0135772208209,"lh"
"162","nc21","mcgs_mb",16.1277679524578,"lh"
"163","nc22","mcgs_mb",20.1892013684018,"lh"
"164","nc23","mcgs_mb",18.9856087004348,"lh"
"165","nc24","mcgs_mb",15.6483251116308,"lh"
"166","nc27","mcgs_mb",16.5565055637403,"lh"
"167","nc28","mcgs_mb",19.8058658331922,"lh"
"168","nc30","mcgs_mb",17.113103509483,"lh"
"169","nc31","mcgs_mb",16.2938632506854,"lh"
"170","nc32","mcgs_mb",14.9655620916419,"lh"
"171","c01","mcgs_db",12.4175038110307,"lh"
"172","c03","mcgs_db",12.8932926127514,"lh"
"173","c04","mcgs_db",12.1158007706169,"lh"
"174","c07","mcgs_db",15.9557395945701,"lh"
"175","c10","mcgs_db",17.8336509672984,"lh"
"176","c11","mcgs_db",13.5542850846249,"lh"
"177","c12","mcgs_db",9.79833451868601,"lh"
"178","c13","mcgs_db",15.3487789902137,"lh"
