"","sub","label","sulcal_width_mm","hemi"
"133",517239,"pos",1.4644941361012,"lh"
"134",522434,"pos",1.92361289615897,"lh"
"135",531536,"pos",3.06218172601413,"lh"
"136",566454,"pos",1.85764103169768,"lh"
"137",585256,"pos",1.88144895124822,"lh"
"138",622236,"pos",1.38465476157921,"lh"
"139",644044,"pos",2.036273245305,"lh"
"140",679770,"pos",1.87506491899132,"lh"
"141",687163,"pos",1.55502591539607,"lh"
"142",867468,"pos",1.58270803136245,"lh"
"143",910241,"pos",1.44372214661536,"lh"
"144",959574,"pos",1.73738675681005,"lh"
"145",100206,"prcus_p",1.71609873530733,"lh"
"146",100307,"prcus_p",1.29174099918375,"lh"
"147",100408,"prcus_p",1.76528312966792,"lh"
"148",100610,"prcus_p",1.37526034360219,"lh"
"149",101006,"prcus_p",1.09102900324272,"lh"
"150",101107,"prcus_p",0.980496107869784,"lh"
"151",101309,"prcus_p",0.926241712800556,"lh"
"152",101410,"prcus_p",1.21868225392421,"lh"
"153",101915,"prcus_p",1.02207936550387,"lh"
"154",102008,"prcus_p",1.06226386219345,"lh"
"155",102311,"prcus_p",0.988503997992028,"lh"
"156",102513,"prcus_p",1.67474831054513,"lh"
"157",102816,"prcus_p",1.15416223389427,"lh"
"158",103111,"prcus_p",1.4626119832393,"lh"
"159",103414,"prcus_p",1.22440901783586,"lh"
"160",103515,"prcus_p",1.03477453360574,"lh"
"161",103818,"prcus_p",1.14280039225361,"lh"
"162",104416,"prcus_p",1.02119514011564,"lh"
"163",104820,"prcus_p",1.51295293645525,"lh"
"164",105014,"prcus_p",1.57916226285599,"lh"
"165",105115,"prcus_p",1.24768266293376,"lh"
"166",105216,"prcus_p",0.893537162595891,"lh"
"167",105620,"prcus_p",1.64350244595063,"lh"
"168",106016,"prcus_p",2.02487429898178,"lh"
"169",106319,"prcus_p",0.941178994825469,"lh"
"170",106521,"prcus_p",1.6324573306645,"lh"
"171",107018,"prcus_p",0.923496626093219,"lh"
"172",107220,"prcus_p",0.910023684845477,"lh"
"173",107321,"prcus_p",1.24847196142226,"lh"
"174",107422,"prcus_p",0.972081845406347,"lh"
"175",107725,"prcus_p",1.11147532854582,"lh"
"176",108121,"prcus_p",1.30712756146556,"lh"
"177",108222,"prcus_p",1.82109948721719,"lh"
"178",108323,"prcus_p",0.932461562410819,"lh"
"179",108525,"prcus_p",0.736197973900183,"lh"
"180",108828,"prcus_p",1.14836141674692,"lh"
"181",109123,"prcus_p",1.1341729484973,"lh"
"182",109325,"prcus_p",1.34073265023947,"lh"
"183",109830,"prcus_p",1.23520975619935,"lh"
"184",110007,"prcus_p",1.16098150018044,"lh"
"185",110411,"prcus_p",0.946967922499848,"lh"
"186",110613,"prcus_p",1.37458348253497,"lh"
"187",112920,"prcus_p",1.4071973468237,"lh"
"188",114924,"prcus_p",0.979908068910637,"lh"
"189",120111,"prcus_p",1.15018613932435,"lh"
"190",128127,"prcus_p",0.720497121974332,"lh"
"191",133928,"prcus_p",1.1098725420507,"lh"
"192",144125,"prcus_p",1.46267930303039,"lh"
"193",146937,"prcus_p",1.19159221716423,"lh"
"194",151425,"prcus_p",1.1576881372946,"lh"
