,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
528,104820,rh,prcus_p,0,176,126,296,2.536,0.222,0.117,0.015,1,0.1,-0.116879194974899,0.297413438558578,-0.0655984953045845,0.507163226604462,present,5.31753103805582
529,104820,rh,spls,0,516,367,809,2.467,0.424,0.11,0.019,2,0.5,0.439741373062134,1.01525938510895,0.246804997324944,0.493420749902725,present,10.4462431092712
530,104820,rh,sspls_d,0,58,40,128,2.729,0.247,0.117,0.015,0,0.1,-0.0280342064797878,0.183041587471962,-0.0157342087477446,0.54582804441452,present,3.08696832711105
531,104820,rh,sspls_v,0,34,28,87,2.862,0.211,0.145,0.033,0,0,-0.201494589447975,-0.0488832518458366,-0.11308890581131,0.572318077087402,present,2.64602911252754
532,104820,rh,w,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
533,105014,lh,icgs_p,0,69,49,206,3.919,0.342,0.121,0.018,0,0.1,-0.133529767394066,-0.0270391926169395,-0.0654525905847549,0.783803522586823,present,1.64394956653963
534,105014,lh,ifrms,0,199,148,432,3.522,0.47,0.166,0.026,3,0.3,0.0541267953813076,0.477951437234879,0.0265314616262913,0.704391837120056,present,3.75584815914118
535,105014,lh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
536,105014,lh,mcgs,0,1419,1011,2193,2.332,0.333,0.103,0.016,7,0.9,0.426083713769913,1.47404050827026,0.20885443687439,0.46641018986702,present,17.3423845256915
537,105014,lh,pos,0,1207,846,1841,2.587,0.489,0.119,0.025,7,1.3,0.672108948230743,1.42117273807526,0.329449206590652,0.517498552799225,present,20.6563784176136
538,105014,lh,prculs_d,0,387,277,556,2.318,0.375,0.126,0.023,2,0.5,0.000479360576719046,0.426902264356613,0.000234973529586568,0.463522791862488,present,12.7693565857356
539,105014,lh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
540,105014,lh,prcus_a,0,374,265,599,2.366,0.316,0.113,0.012,2,0.2,0.31475356221199,0.985308468341827,0.154283449053764,0.473107248544693,present,12.7872080527975
541,105014,lh,prcus_i,0,297,211,484,2.308,0.391,0.123,0.019,2,0.3,-0.106665804982185,0.301123172044754,-0.052284624427557,0.461560189723969,present,6.59754311072922
542,105014,lh,prcus_p,0,74,57,202,3.186,0.382,0.09,0.025,0,0,-0.316360116004944,0.0751130953431129,-0.155070945620537,0.637262046337128,present,4.81999495990648
543,105014,lh,spls,0,610,448,986,2.518,0.344,0.124,0.025,4,0.7,0.383378714323044,1.05993831157684,0.18792162835598,0.503554582595825,present,13.0560463087669
544,105014,lh,sspls_d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
545,105014,lh,sspls_v,0,60,40,151,3.594,0.192,0.141,0.029,0,0.1,-0.187495738267899,-0.0294425077736378,-0.0919052138924599,0.718710541725159,present,2.30378990904665
546,105014,lh,w,0,161,114,254,2.235,0.359,0.082,0.01,0,0.1,0.594760775566101,1.10424590110779,0.291535288095474,0.446932762861252,present,14.2402788223601
547,105014,rh,icgs_p,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
548,105014,rh,ifrms,0,97,66,229,3.695,0.54,0.124,0.027,1,0.1,0.107181414961815,0.311603575944901,0.0568604357540607,0.738980412483215,present,1.28200303418266
549,105014,rh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
550,105014,rh,mcgs,0,570,429,911,2.294,0.336,0.107,0.014,3,0.3,0.475246220827103,1.21396398544312,0.252121210098267,0.458700507879257,present,12.2264301059826
551,105014,rh,pos,0,1124,786,1849,2.749,0.481,0.124,0.026,8,1.2,0.797475516796112,1.51225650310516,0.423065960407257,0.549756526947021,present,20.1452137296782
552,105014,rh,prculs_d,0,680,499,1064,2.312,0.329,0.113,0.017,4,0.6,0.156302064657211,0.746572315692902,0.0829192623496056,0.462397485971451,present,10.5695300849559
553,105014,rh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
554,105014,rh,prcus_a,0,435,307,723,2.614,0.287,0.118,0.016,3,0.4,0.223764851689339,0.60409951210022,0.118708685040474,0.522899389266968,present,9.79746222469771
555,105014,rh,prcus_i,0,363,253,648,2.732,0.289,0.107,0.017,2,0.2,0.192960739135742,0.952403426170349,0.102366916835308,0.546327769756317,present,9.21995817711932
556,105014,rh,prcus_p,0,22,15,60,3.236,0.345,0.032,0.007,0,0,-0.110982246696949,-0.0087485620751977,-0.0588768012821674,0.647168099880219,present,0.570515108988549
557,105014,rh,spls,0,567,405,1032,3.031,0.544,0.116,0.022,4,0.4,0.449896335601807,1.0526043176651,0.238672941923141,0.606251358985901,present,10.4622709945714
558,105014,rh,sspls_d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
559,105014,rh,sspls_v,0,108,71,239,3.386,0.238,0.113,0.024,1,0.1,-0.105197302997112,0.161471977829933,-0.05580785125494,0.677291810512543,present,1.11929698531868
560,105014,rh,w,0,223,159,368,2.345,0.31,0.079,0.009,0,0.1,0.372567564249039,0.727247595787048,0.197649493813515,0.468931049108505,present,10.3192851157027
561,105115,lh,icgs_p,0,58,45,206,3.807,0.305,0.138,0.023,0,0.1,-0.11012839525938,-0.00649317540228367,-0.0608835928142071,0.761348485946655,present,2.04862049376978
562,105115,lh,ifrms,0,44,30,138,4.028,0.363,0.123,0.031,0,0.1,-0.0864931046962738,0.0502173453569412,-0.0478170141577721,0.8056480884552,present,2.32768728831162
563,105115,lh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
564,105115,lh,mcgs,0,1261,880,1991,2.458,0.361,0.097,0.014,5,0.8,0.490157425403595,1.35337817668915,0.270979553461075,0.491647332906723,present,16.2052873368715
