"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"587","c22","rh","sspls_v",0,159,105,334,4.052,0.619,0.119,0.024,1,0.2,-0.107329018414021,0.115978606045246,-0.0545288287103176,0.810464918613434,"present",1.07011297234087
"588","c22","rh","w",0,162,112,236,2.228,0.534,0.074,0.009,0,0.1,0.519708812236786,0.963664650917053,0.264039605855942,0.445575773715973,"present",11.6779017937567
"589","c23","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"590","c23","lh","ifrms",0,76,66,187,2.782,0.342,0.079,0.01,0,0,-0.134132221341133,-0.0105140991508961,-0.0706867128610611,0.55647349357605,"present",2.75061363542405
"591","c23","lh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"592","c23","lh","mcgs",0,1711,1175,1753,1.632,0.581,0.082,0.012,6,0.8,0.540542125701904,1.42978823184967,0.28486180305481,0.326435893774033,"present",15.6508832559754
"593","c23","lh","pos",0,1949,1334,2212,1.99,0.618,0.091,0.017,8,1.2,0.670031189918518,1.63871288299561,0.353101581335068,0.398009091615677,"present",22.6573622721253
"594","c23","lh","prculs_d",0,312,212,317,1.467,0.535,0.094,0.012,1,0.2,0.167480975389481,0.92922967672348,0.0882612615823746,0.293307423591614,"present",14.8645603980927
"595","c23","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"596","c23","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"597","c23","lh","prcus_i",0,106,80,164,2.012,0.455,0.098,0.013,0,0.1,-0.19359228014946,0.0113439382985234,-0.102021738886833,0.402466505765915,"present",4.38992181117174
"598","c23","lh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"599","c23","lh","spls",0,217,154,386,2.591,0.786,0.1,0.019,1,0.2,-0.127029538154602,0.208869487047195,-0.0669436454772949,0.518227696418762,"present",5.28663856959118
"600","c23","lh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"601","c23","lh","sspls_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"602","c23","lh","w",0,194,140,419,3.108,0.605,0.077,0.012,0,0.1,0.452891796827316,0.73994904756546,0.238670662045479,0.621598780155182,"present",10.0217281835754
"603","c23","rh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"604","c23","rh","ifrms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"605","c23","rh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"606","c23","rh","mcgs",0,2046,1413,2380,1.898,0.64,0.084,0.012,7,1,0.57425194978714,1.41440963745117,0.280287563800812,0.379655122756958,"present",14.8747616757631
"607","c23","rh","pos",0,1593,1071,1795,1.872,0.654,0.082,0.015,6,0.8,0.615953326225281,1.51667189598083,0.300641655921936,0.374394774436951,"present",20.6108445450595
"608","c23","rh","prculs_d",0,151,107,191,2.087,0.396,0.092,0.014,1,0.1,0.194408878684044,0.817966938018799,0.0948893278837204,0.417345821857452,"present",8.99778047443078
"609","c23","rh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"610","c23","rh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"611","c23","rh","prcus_i",0,47,34,98,3.078,0.66,0.066,0.021,0,0,-0.282584667205811,-0.0325720943510532,-0.137927234172821,0.615623533725739,"present",3.11661519008372
"612","c23","rh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"613","c23","rh","spls",0,238,168,491,3.355,0.728,0.109,0.018,1,0.2,-0.0924878418445587,0.167490541934967,-0.0451425388455391,0.670943379402161,"present",3.50823320464146
"614","c23","rh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"615","c23","rh","sspls_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"616","c23","rh","w",0,158,97,341,3.322,0.733,0.057,0.01,0,0.1,0.341821163892746,0.669974446296692,0.166840061545372,0.664480328559875,"present",8.63155018291025
"617","c24","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"618","c24","lh","ifrms",0,33,26,73,2.661,0.327,0.066,0.012,0,0,-0.228583067655563,-0.114939443767071,-0.11739993840456,0.532192409038544,"present",2.34646326519227
