,sub,hemi,label_name,network_name,dice_coeff
0,100206,lh,PMC_ROI,cortex_sulci,0.7487880671224363
0,100206,rh,PMC_ROI,cortex_sulci,0.7413353582470034
0,100307,lh,PMC_ROI,cortex_sulci,0.7639834024896266
0,100307,rh,PMC_ROI,cortex_sulci,0.770168404170008
0,100408,lh,PMC_ROI,cortex_sulci,0.7718991400670456
0,100408,rh,PMC_ROI,cortex_sulci,0.7369065433274384
0,100610,lh,PMC_ROI,cortex_sulci,0.6969510317215891
0,100610,rh,PMC_ROI,cortex_sulci,0.708467229653987
0,101006,lh,PMC_ROI,cortex_sulci,0.7328668819519196
0,101006,rh,PMC_ROI,cortex_sulci,0.7227861393069653
0,101107,lh,PMC_ROI,cortex_sulci,0.7363694676074407
0,101107,rh,PMC_ROI,cortex_sulci,0.7650702259443427
0,180937,lh,PMC_ROI,cortex_sulci,0.732508073196986
0,180937,rh,PMC_ROI,cortex_sulci,0.7528103044496487
0,268749,lh,PMC_ROI,cortex_sulci,0.766635015703747
0,268749,rh,PMC_ROI,cortex_sulci,0.7650791530291897
0,365343,lh,PMC_ROI,cortex_sulci,0.683839881393625
0,365343,rh,PMC_ROI,cortex_sulci,0.7303925972509209
0,531536,lh,PMC_ROI,cortex_sulci,0.7442497656644315
0,531536,rh,PMC_ROI,cortex_sulci,0.7440545943337699
0,112920,lh,PMC_ROI,cortex_sulci,0.732462877624168
0,112920,rh,PMC_ROI,cortex_sulci,0.7517553793884485
0,176744,lh,PMC_ROI,cortex_sulci,0.7210177142466315
0,176744,rh,PMC_ROI,cortex_sulci,0.7543848540492624
0,151425,lh,PMC_ROI,cortex_sulci,0.7610469591993841
0,151425,rh,PMC_ROI,cortex_sulci,0.7387862796833773
0,644044,lh,PMC_ROI,cortex_sulci,0.7208002353633421
0,644044,rh,PMC_ROI,cortex_sulci,0.7284225655767158
0,128127,lh,PMC_ROI,cortex_sulci,0.7233304423243712
0,128127,rh,PMC_ROI,cortex_sulci,0.7438239733100326
0,146937,lh,PMC_ROI,cortex_sulci,0.7846103255508057
0,146937,rh,PMC_ROI,cortex_sulci,0.7572404049917589
0,585256,lh,PMC_ROI,cortex_sulci,0.7345708093847169
0,585256,rh,PMC_ROI,cortex_sulci,0.7212660086467085
0,867468,lh,PMC_ROI,cortex_sulci,0.7523614609571788
0,867468,rh,PMC_ROI,cortex_sulci,0.7398561352049724
0,380036,lh,PMC_ROI,cortex_sulci,0.7302490115835472
0,380036,rh,PMC_ROI,cortex_sulci,0.7055333419321553
0,522434,lh,PMC_ROI,cortex_sulci,0.731409805301431
0,522434,rh,PMC_ROI,cortex_sulci,0.7302757705353192
0,214019,lh,PMC_ROI,cortex_sulci,0.7091145349916466
0,214019,rh,PMC_ROI,cortex_sulci,0.7513901345291479
0,185947,lh,PMC_ROI,cortex_sulci,0.7313534345953299
0,185947,rh,PMC_ROI,cortex_sulci,0.7316510232343437
0,144125,lh,PMC_ROI,cortex_sulci,0.756518117451062
0,144125,rh,PMC_ROI,cortex_sulci,0.7433628318584071
0,566454,lh,PMC_ROI,cortex_sulci,0.7356042173560422
0,566454,rh,PMC_ROI,cortex_sulci,0.7464194180612092
0,151829,lh,PMC_ROI,cortex_sulci,0.7372851631006664
0,151829,rh,PMC_ROI,cortex_sulci,0.739903635567236
0,679770,lh,PMC_ROI,cortex_sulci,0.749623132794299
0,679770,rh,PMC_ROI,cortex_sulci,0.737037037037037
0,910241,lh,PMC_ROI,cortex_sulci,0.7198013095506887
0,910241,rh,PMC_ROI,cortex_sulci,0.7342741935483871
0,107725,lh,PMC_ROI,cortex_sulci,0.7405643738977072
0,107725,rh,PMC_ROI,cortex_sulci,0.7379293778525102
0,959574,lh,PMC_ROI,cortex_sulci,0.7478553406223717
0,959574,rh,PMC_ROI,cortex_sulci,0.7158117771695948
0,114924,lh,PMC_ROI,cortex_sulci,0.7582916506348596
0,114924,rh,PMC_ROI,cortex_sulci,0.765410836024399
0,109830,lh,PMC_ROI,cortex_sulci,0.7972984981782636
0,109830,rh,PMC_ROI,cortex_sulci,0.7727515583259127
0,164939,lh,PMC_ROI,cortex_sulci,0.7570093457943925
0,164939,rh,PMC_ROI,cortex_sulci,0.7725017717930546
0,622236,lh,PMC_ROI,cortex_sulci,0.7400408580183861
0,622236,rh,PMC_ROI,cortex_sulci,0.7493215476467395
0,133928,lh,PMC_ROI,cortex_sulci,0.7708847886096178
0,133928,rh,PMC_ROI,cortex_sulci,0.7360082913828843
0,687163,lh,PMC_ROI,cortex_sulci,0.7371212121212121
0,687163,rh,PMC_ROI,cortex_sulci,0.7494905583480506
0,517239,lh,PMC_ROI,cortex_sulci,0.7169526112916635
0,517239,rh,PMC_ROI,cortex_sulci,0.7301236749116607
0,101309,lh,PMC_ROI,cortex_sulci,0.7616625605976317
0,101309,rh,PMC_ROI,cortex_sulci,0.7293093607305936
0,101410,lh,PMC_ROI,cortex_sulci,0.6880013801431899
0,101410,rh,PMC_ROI,cortex_sulci,0.7220419640925806
0,101915,lh,PMC_ROI,cortex_sulci,0.7415498408875892
0,101915,rh,PMC_ROI,cortex_sulci,0.7579801763833607
0,102008,lh,PMC_ROI,cortex_sulci,0.7230966187212893
0,102008,rh,PMC_ROI,cortex_sulci,0.7069767441860465
0,102311,lh,PMC_ROI,cortex_sulci,0.7544204322200393
0,102311,rh,PMC_ROI,cortex_sulci,0.7523764258555133
0,102513,lh,PMC_ROI,cortex_sulci,0.7275822928490352
0,102513,rh,PMC_ROI,cortex_sulci,0.75234375
0,102816,lh,PMC_ROI,cortex_sulci,0.7503284000350293
0,102816,rh,PMC_ROI,cortex_sulci,0.7646065518405943
0,103111,lh,PMC_ROI,cortex_sulci,0.7445176183040261
0,103111,rh,PMC_ROI,cortex_sulci,0.7594984091334457
0,103414,lh,PMC_ROI,cortex_sulci,0.7257080792046119
0,103414,rh,PMC_ROI,cortex_sulci,0.744258466329311
0,103515,lh,PMC_ROI,cortex_sulci,0.7653011261628856
0,103515,rh,PMC_ROI,cortex_sulci,0.7711870859666489
0,103818,lh,PMC_ROI,cortex_sulci,0.7466249266288397
0,103818,rh,PMC_ROI,cortex_sulci,0.7370705244122966
0,104416,lh,PMC_ROI,cortex_sulci,0.7296949511770494
0,104416,rh,PMC_ROI,cortex_sulci,0.7503522118906735
0,104820,lh,PMC_ROI,cortex_sulci,0.7224110177070292
0,104820,rh,PMC_ROI,cortex_sulci,0.7232085364731855
0,105014,lh,PMC_ROI,cortex_sulci,0.7031002847200253
0,105014,rh,PMC_ROI,cortex_sulci,0.7637969094922737
0,105115,lh,PMC_ROI,cortex_sulci,0.7217391304347827
0,105115,rh,PMC_ROI,cortex_sulci,0.728310502283105
0,105216,lh,PMC_ROI,cortex_sulci,0.7154160285860133
0,105216,rh,PMC_ROI,cortex_sulci,0.7183098591549296
0,105620,lh,PMC_ROI,cortex_sulci,0.7461860604247682
0,105620,rh,PMC_ROI,cortex_sulci,0.7302460417750688
0,106016,lh,PMC_ROI,cortex_sulci,0.765626147631289
0,106016,rh,PMC_ROI,cortex_sulci,0.7459245116757233
0,106319,lh,PMC_ROI,cortex_sulci,0.7346557759626604
0,106319,rh,PMC_ROI,cortex_sulci,0.7308698999230177
0,106521,lh,PMC_ROI,cortex_sulci,0.7222447599729547
0,106521,rh,PMC_ROI,cortex_sulci,0.7064835515809645
0,107018,lh,PMC_ROI,cortex_sulci,0.754520037278658
0,107018,rh,PMC_ROI,cortex_sulci,0.7449198319471834
0,107220,lh,PMC_ROI,cortex_sulci,0.7112659330219302
0,107220,rh,PMC_ROI,cortex_sulci,0.7188206961979129
0,107321,lh,PMC_ROI,cortex_sulci,0.7179059686562187
0,107321,rh,PMC_ROI,cortex_sulci,0.7426421774728922
0,107422,lh,PMC_ROI,cortex_sulci,0.7376121463077985
0,107422,rh,PMC_ROI,cortex_sulci,0.7431489141675285
0,108121,lh,PMC_ROI,cortex_sulci,0.7202139249281965
0,108121,rh,PMC_ROI,cortex_sulci,0.7173770491803279
0,108222,lh,PMC_ROI,cortex_sulci,0.7221026059841117
0,108222,rh,PMC_ROI,cortex_sulci,0.73012990641151
0,108323,lh,PMC_ROI,cortex_sulci,0.7591902834008097
0,108323,rh,PMC_ROI,cortex_sulci,0.7775918515823936
0,108525,lh,PMC_ROI,cortex_sulci,0.7626705653021443
0,108525,rh,PMC_ROI,cortex_sulci,0.7502114246175137
0,108828,lh,PMC_ROI,cortex_sulci,0.746138036199695
0,108828,rh,PMC_ROI,cortex_sulci,0.7479768786127168
0,109123,lh,PMC_ROI,cortex_sulci,0.7446685042797041
0,109123,rh,PMC_ROI,cortex_sulci,0.731436868853541
0,109325,lh,PMC_ROI,cortex_sulci,0.7014276846679082
0,109325,rh,PMC_ROI,cortex_sulci,0.7201939100136343
0,110007,lh,PMC_ROI,cortex_sulci,0.752115835627613
0,110007,rh,PMC_ROI,cortex_sulci,0.7309441513552847
0,110411,lh,PMC_ROI,cortex_sulci,0.7615340955160951
0,110411,rh,PMC_ROI,cortex_sulci,0.7577792217168435
0,110613,lh,PMC_ROI,cortex_sulci,0.7265708200212992
0,110613,rh,PMC_ROI,cortex_sulci,0.7501929814144053
0,120111,lh,PMC_ROI,cortex_sulci,0.7026309626044188
0,120111,rh,PMC_ROI,cortex_sulci,0.7411545623836127
0,168240,lh,PMC_ROI,cortex_sulci,0.7271472392638036
0,168240,rh,PMC_ROI,cortex_sulci,0.7527669972689378
