sub,hemi,species,intersection_pial,intersection_inflated,isms_pres
c21,rh,chimpanzee,0,0,1
c22,lh,chimpanzee,0,0,0
c22,rh,chimpanzee,0,0,0
c23,lh,chimpanzee,0,0,0
c23,rh,chimpanzee,1,0,0
c24,lh,chimpanzee,0,0,1
c24,rh,chimpanzee,0,0,1
c25,lh,chimpanzee,0,0,1
c25,rh,chimpanzee,0,0,0
c26,lh,chimpanzee,0,0,0
c26,rh,chimpanzee,0,0,0
c27,lh,chimpanzee,1,1,0
c27,rh,chimpanzee,0,0,1
c28,lh,chimpanzee,0,0,0
c28,rh,chimpanzee,0,0,0
c29,lh,chimpanzee,0,0,1
c29,rh,chimpanzee,0,0,1
c30,lh,chimpanzee,1,0,0
c30,rh,chimpanzee,1,0,0
nc02,lh,chimpanzee,1,0,0
nc02,rh,chimpanzee,1,0,0
nc03,lh,chimpanzee,0,0,1
nc03,rh,chimpanzee,0,0,1
nc04,lh,chimpanzee,0,0,0
nc04,rh,chimpanzee,0,0,0
nc05,lh,chimpanzee,1,0,0
nc05,rh,chimpanzee,1,0,1
nc06,lh,chimpanzee,0,0,1
nc06,rh,chimpanzee,0,0,0
nc07,lh,chimpanzee,0,0,0
nc07,rh,chimpanzee,0,0,0
nc08,lh,chimpanzee,1,0,1
nc08,rh,chimpanzee,1,0,0
nc09,lh,chimpanzee,0,0,1
nc09,rh,chimpanzee,0,0,1
nc10,lh,chimpanzee,0,0,0
nc10,rh,chimpanzee,0,0,1
nc11,lh,chimpanzee,0,0,1
nc11,rh,chimpanzee,0,0,1
nc12,lh,chimpanzee,1,0,0
nc12,rh,chimpanzee,0,0,0
nc13,lh,chimpanzee,0,0,1
nc13,rh,chimpanzee,0,0,1
nc14,lh,chimpanzee,0,0,1
nc14,rh,chimpanzee,0,0,0
nc15,lh,chimpanzee,1,0,0
nc15,rh,chimpanzee,0,0,0
nc16,lh,chimpanzee,0,0,1
nc16,rh,chimpanzee,0,0,0
nc17,lh,chimpanzee,1,0,0
nc17,rh,chimpanzee,1,0,1
nc18,lh,chimpanzee,1,0,0
nc18,rh,chimpanzee,0,0,1
nc19,lh,chimpanzee,0,0,0
nc19,rh,chimpanzee,0,0,1
nc20,lh,chimpanzee,0,0,1
nc20,rh,chimpanzee,0,0,1
nc21,lh,chimpanzee,0,0,1
nc21,rh,chimpanzee,0,0,1
nc22,lh,chimpanzee,0,0,1
nc22,rh,chimpanzee,0,0,1
nc23,lh,chimpanzee,0,0,1
nc23,rh,chimpanzee,0,0,0
nc24,lh,chimpanzee,0,0,1
nc24,rh,chimpanzee,0,0,1
nc25,lh,chimpanzee,0,0,1
nc25,rh,chimpanzee,0,0,1
nc26,lh,chimpanzee,0,0,0
nc26,rh,chimpanzee,0,0,0
nc27,lh,chimpanzee,0,0,0
nc27,rh,chimpanzee,1,0,1
nc28,lh,chimpanzee,0,0,0
nc28,rh,chimpanzee,1,0,0
nc29,lh,chimpanzee,1,0,0
nc29,rh,chimpanzee,0,0,1
nc30,lh,chimpanzee,0,0,1
nc30,rh,chimpanzee,0,0,1
nc31,lh,chimpanzee,0,0,0
nc31,rh,chimpanzee,1,0,0
nc32,lh,chimpanzee,0,0,1
nc32,rh,chimpanzee,0,0,0
