"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","sulcal_depth_mm"
"33","c06","lh","mcgs_sb",0,30,22,25,1.145,0.145,0.051,0.004,0,0,0.0279799923300743,0.291028589010239,0.0149080054834485,0.229091972112656,11.2067512798009
"34","c06","rh","mcgs_db",0,113,81,97,1.245,0.285,0.071,0.009,0,0,0.107255980372429,0.620618343353271,0.0544595345854759,0.249067306518555,12.0299034946702
"35","c06","rh","mcgs_mb",0,674,454,596,1.455,0.439,0.079,0.012,2,0.4,0.678548812866211,1.3557790517807,0.344535112380981,0.291016340255737,17.6479041245839
"36","c06","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","c07","lh","mcgs_db",0,483,332,670,2.063,0.615,0.075,0.012,1,0.2,0.250562518835068,1.17846310138702,0.131241962313652,0.412687450647354,15.9557395945701
"38","c07","lh","mcgs_mb",0,703,464,686,1.574,0.545,0.078,0.009,3,0.2,0.558725416660309,1.34954535961151,0.292654395103455,0.314859330654144,14.7752431092106
"39","c07","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","c07","rh","mcgs_db",0,354,249,472,1.966,0.382,0.078,0.01,1,0.1,0.191308841109276,1.09118175506592,0.0960772335529327,0.393188953399658,14.6018329233203
"41","c07","rh","mcgs_mb",0,760,543,932,1.901,0.656,0.086,0.012,3,0.4,0.623811423778534,1.47999227046967,0.313284426927567,0.38029471039772,15.8912934123626
"42","c07","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","c09","lh","mcgs_db",0,337,230,455,2.197,0.665,0.081,0.01,1,0.1,0.369841665029526,1.13204002380371,0.17961485683918,0.439465522766113,15.7406833260321
"44","c09","lh","mcgs_mb",0,1130,765,1338,2.106,0.707,0.074,0.01,3,0.4,0.786945283412933,1.44502747058868,0.382182657718658,0.421171575784683,16.4732407162687
"45","c09","lh","mcgs_sb",0,39,30,56,1.744,0.339,0.098,0.018,0,0,-0.0208262950181961,0.258620530366898,-0.0101143615320325,0.348881483078003,9.66788488609961
"46","c09","rh","mcgs_db",0,387,265,546,2.41,0.535,0.079,0.008,2,0.1,0.134218707680702,0.996633291244507,0.0657336860895157,0.482074350118637,13.3786070383235
"47","c09","rh","mcgs_mb",0,974,652,958,1.653,0.589,0.078,0.009,3,0.4,0.768087983131409,1.40686106681824,0.376171499490738,0.330618798732758,14.1539391521295
"48","c09","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","c10","lh","mcgs_db",0,546,370,748,2.1,0.548,0.07,0.007,1,0.1,0.418461173772812,1.31454563140869,0.194878414273262,0.420010477304459,17.8336509672984
"50","c10","lh","mcgs_mb",0,656,458,1008,2.301,0.755,0.07,0.008,2,0.2,0.598594963550568,1.39082419872284,0.278767198324203,0.460235744714737,17.3196627599994
"51","c10","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","c10","rh","mcgs_db",0,171,123,316,2.417,0.486,0.049,0.005,0,0,0.0485192686319351,0.604432642459869,0.0260877106338739,0.483364880084991,11.0860943099353
"53","c10","rh","mcgs_mb",0,686,475,872,1.978,0.564,0.077,0.007,2,0.2,0.682557821273804,1.26373434066772,0.366995930671692,0.395506203174591,14.0482867399793
"54","c10","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","c11","lh","mcgs_db",0,839,579,1055,2.009,0.897,0.083,0.01,3,0.3,0.554606854915619,1.33137691020966,0.225656270980835,0.40178456902504,13.5542850846249
"56","c11","lh","mcgs_mb",0,850,611,1157,2.335,0.85,0.087,0.013,3,0.4,0.687343537807465,1.5053596496582,0.279663681983948,0.466975599527359,16.0410999726448
"57","c11","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","c11","rh","mcgs_db",0,521,375,766,2.153,0.627,0.089,0.014,2,0.3,0.463884055614471,1.32310354709625,0.226245030760765,0.43058979511261,17.1642131869559
"59","c11","rh","mcgs_mb",0,888,635,1254,2.135,0.666,0.07,0.009,2,0.4,0.663813352584839,1.54963994026184,0.323754340410233,0.427022606134415,16.7237113531564
"60","c11","rh","mcgs_sb",0,53,44,106,2.444,0.4,0.099,0.012,0,0,0.546524703502655,0.85676121711731,0.266550451517105,0.488713324069977,10.2686722201743
"61","c12","lh","mcgs_db",0,189,127,347,2.485,0.494,0.04,0.005,0,0,-0.0516514033079147,0.503270506858826,-0.0279409475624561,0.497015982866287,9.79833451868601
"62","c12","lh","mcgs_mb",0,950,638,915,1.605,0.411,0.073,0.008,3,0.3,0.632559418678284,1.44891476631165,0.34218442440033,0.321007281541824,16.966969252197
"63","c12","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","c12","rh","mcgs_db",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","c12","rh","mcgs_mb",0,1159,816,1508,2.033,0.629,0.074,0.009,3,0.4,0.497610092163086,1.38859236240387,0.27684074640274,0.406522393226624,15.7743267914057
"66","c12","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","c13","lh","mcgs_db",0,498,328,592,1.885,0.467,0.079,0.01,2,0.2,0.265208929777145,1.19439566135406,0.13833874464035,0.377053499221802,15.3487789902137
"68","c13","lh","mcgs_mb",0,964,656,922,1.515,0.509,0.079,0.011,3,0.4,0.699947953224182,1.54332327842712,0.365108042955399,0.303069442510605,19.0433597726218
"69","c13","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","c13","rh","mcgs_db",0,262,177,379,2.426,0.899,0.082,0.009,1,0.1,0.146398216485977,0.918533444404602,0.0732095837593079,0.485289633274078,14.6692984769379
"71","c13","rh","mcgs_mb",0,1051,703,1026,1.588,0.562,0.073,0.01,3,0.4,0.70261013507843,1.58623898029327,0.351355314254761,0.317544996738434,18.1699549146405
"72","c13","rh","mcgs_sb",0,165,120,340,3.514,0.867,0.099,0.016,1,0.1,-0.00337170693092048,0.530080616474152,-0.00168609037064016,0.702755451202393,6.02850540433185
"73","c14","lh","mcgs_db",0,103,72,200,2.604,0.833,0.072,0.017,0,0,-0.220457255840302,0.0121246818453074,-0.119532324373722,0.520732522010803,7.25782387103265
"74","c14","lh","mcgs_mb",0,930,650,1110,1.951,0.795,0.084,0.011,4,0.4,0.706594169139862,1.53747391700745,0.383116632699966,0.390256106853485,18.0324333250044
"75","c14","lh","mcgs_sb",0,435,300,686,2.349,0.701,0.093,0.018,1,0.3,0.378096282482147,1.13457632064819,0.20500448346138,0.469884753227234,13.4619119284535
"76","c14","rh","mcgs_db",0,171,127,275,2.017,0.509,0.1,0.015,1,0.1,-0.240998402237892,0.185559451580048,-0.121574878692627,0.403405219316483,6.63785869302185
"77","c14","rh","mcgs_mb",0,675,463,947,2.505,0.755,0.096,0.011,3,0.3,0.749453842639923,1.48758316040039,0.378072082996368,0.501080930233002,14.0992697468608
"78","c14","rh","mcgs_sb",0,502,348,603,1.885,0.48,0.083,0.01,2,0.2,0.418888121843338,1.26307570934296,0.211313739418983,0.377026110887527,13.7072432716758
"79","c15","lh","mcgs_db",0,228,156,259,1.64,0.377,0.074,0.007,1,0.1,0.0732272937893867,0.861046612262726,0.0406259894371033,0.327975958585739,14.008718524292
"80","c15","lh","mcgs_mb",0,634,443,638,1.546,0.501,0.078,0.008,2,0.2,0.780745089054108,1.55037117004395,0.433151721954346,0.309273779392242,21.476169247552
"81","c15","lh","mcgs_sb",0,150,107,248,2.292,0.548,0.056,0.007,0,0,0.322693943977356,0.732772469520569,0.179028242826462,0.45839387178421,12.8633102642958
"82","c15","rh","mcgs_db",0,358,237,471,2.032,0.367,0.043,0.006,0,0.1,0.246423244476318,1.0293790102005,0.128356650471687,0.406407326459885,17.346037854847
"83","c15","rh","mcgs_mb",0,858,584,1095,2.059,0.51,0.071,0.008,2,0.3,0.820826768875122,1.60387980937958,0.427551299333572,0.411857753992081,20.1583937222114
"84","c15","rh","mcgs_sb",0,194,142,360,2.787,0.436,0.098,0.02,1,0.1,-0.114918224513531,0.506194174289703,-0.0598584860563278,0.557371973991394,7.3082032538273
"85","c16","lh","mcgs_db",0,206,141,378,2.476,0.41,0.056,0.006,0,0,0.0293377079069614,0.720132768154144,0.0149973249062896,0.495281666517258,13.114427081747
"86","c16","lh","mcgs_mb",0,987,679,1267,2.097,0.466,0.069,0.008,2,0.3,0.647725760936737,1.40317678451538,0.331115067005157,0.419325083494186,17.8757973131679
"87","c16","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","c16","rh","mcgs_db",0,369,268,545,2.074,0.601,0.074,0.006,1,0.1,0.218343153595924,1.06622862815857,0.106271058320999,0.414739519357681,16.9472167570386
