,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
237,110007,lh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,110007,rh,mcgs_db,0,432,305,602,2.124,0.314,0.115,0.019,2,0.4,0.219466313719749,0.735793352127075,0.113928616046906,0.424867659807205,13.080215760048
239,110007,rh,mcgs_mb,0,759,538,1132,2.418,0.308,0.111,0.018,4,0.7,0.47438657283783,1.08529210090637,0.246262013912201,0.483636856079102,11.4530588011058
240,110007,rh,mcgs_sb,0,74,56,137,2.516,0.343,0.098,0.012,0,0,0.532943725585938,0.710455536842346,0.276659995317459,0.503160119056702,7.69563146987496
241,110411,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,110411,lh,mcgs_mb,0,1146,801,1532,2.132,0.323,0.094,0.014,5,0.8,0.587562501430511,1.33830678462982,0.318284124135971,0.42635190486908,14.6662703084529
243,110411,lh,mcgs_sb,0,169,118,252,2.289,0.313,0.112,0.02,1,0.1,0.298784971237183,0.498122960329056,0.161852598190308,0.457705169916153,7.75304932252086
244,110411,rh,mcgs_db,0,225,167,385,2.356,0.347,0.121,0.02,2,0.2,-0.0391247645020485,0.627382457256317,-0.0209381226450205,0.471270471811295,5.09620819075802
245,110411,rh,mcgs_mb,0,794,586,1135,2.104,0.395,0.104,0.017,4,0.6,0.508435487747192,1.29032278060913,0.272095888853073,0.420814037322998,13.2879989214578
246,110411,rh,mcgs_sb,0,107,73,164,2.233,0.39,0.138,0.027,1,0.2,0.29627537727356,0.628266394138336,0.158555626869202,0.446581840515137,5.66587592154541
247,110613,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,110613,lh,mcgs_mb,0,707,519,974,2.006,0.412,0.102,0.012,3,0.4,0.394920170307159,1.19073581695557,0.221076279878616,0.401281803846359,15.9578531052119
249,110613,lh,mcgs_sb,0,76,61,195,2.929,0.241,0.105,0.02,0,0,0.316143780946732,0.679224193096161,0.176977261900902,0.585724294185638,9.82337615840529
250,110613,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,110613,rh,mcgs_mb,0,1216,898,1797,2.257,0.551,0.097,0.012,5,0.7,0.513358950614929,1.26106333732605,0.282985597848892,0.451336264610291,14.6992420366452
252,110613,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
